run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR24181940,SAMN34203383,GSM7177981,"wild type nuclei, 0.16 nM Dam, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,324679216;324592569,1409192300,14091923,GSM7177981,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/040/SRR24181940/SRR24181940_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/040/SRR24181940/SRR24181940_2.fastq.gz']","325 MB, 325 MB files; 14.1 million reads; 1409.2 million sequenced bases"
SRR24181942,SAMN34203386,GSM7177978,"Isw1/Chd1-degron live cells, 420 min auxin, 180 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,414914105;413976152,1832287600,18322876,GSM7177978,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/042/SRR24181942/SRR24181942_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/042/SRR24181942/SRR24181942_2.fastq.gz']","415 MB, 414 MB files; 18.3 million reads; 1832.3 million sequenced bases"
SRR24181943,SAMN34203387,GSM7177977,"Isw1/Chd1-degron live cells, 360 min auxin, 120 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,488145053;487195227,2144488800,21444888,GSM7177977,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/043/SRR24181943/SRR24181943_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/043/SRR24181943/SRR24181943_2.fastq.gz']","488 MB, 487 MB files; 21.4 million reads; 2144.5 million sequenced bases"
SRR24181945,SAMN34203389,GSM7177975,"Isw1/Chd1-degron live cells, 270 min auxin, 30 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,576049962;574592921,2516536000,25165360,GSM7177975,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/045/SRR24181945/SRR24181945_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/045/SRR24181945/SRR24181945_2.fastq.gz']","576 MB, 575 MB files; 25.2 million reads; 2516.5 million sequenced bases"
SRR24181948,SAMN34203392,GSM7177972,"Isw1/Chd1-degron live cells, 0 min auxin, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,706616481;704579749,3088340800,30883408,GSM7177972,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/048/SRR24181948/SRR24181948_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/048/SRR24181948/SRR24181948_2.fastq.gz']","707 MB, 705 MB files; 30.9 million reads; 3088.3 million sequenced bases"
SRR24181951,SAMN34203391,GSM7177973,"Isw1/Chd1-degron live cells, 180 min auxin, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,701660758;700475850,3069795700,30697957,GSM7177973,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/051/SRR24181951/SRR24181951_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/051/SRR24181951/SRR24181951_2.fastq.gz']","702 MB, 700 MB files; 30.7 million reads; 3069.8 million sequenced bases"
SRR24181962,SAMN34203405,GSM7177959,"Chd1-degron live cells, 270 min auxin, 30 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,637626739;636884693,2773993500,27739935,GSM7177959,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/062/SRR24181962/SRR24181962_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/062/SRR24181962/SRR24181962_2.fastq.gz']","638 MB, 637 MB files; 27.7 million reads; 2774.0 million sequenced bases"
SRR24181965,SAMN34203408,GSM7177956,"Chd1-degron live cells, 0 min auxin, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,485089146;484292568,2123144500,21231445,GSM7177956,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/065/SRR24181965/SRR24181965_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/065/SRR24181965/SRR24181965_2.fastq.gz']","485 MB, 484 MB files; 21.2 million reads; 2123.1 million sequenced bases"
SRR24181966,SAMN34203409,GSM7177955,"Chd1-degron live cells, 480 min auxin, 240 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,584909790;584031030,2593728600,25937286,GSM7177955,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/066/SRR24181966/SRR24181966_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/066/SRR24181966/SRR24181966_2.fastq.gz']","585 MB, 584 MB files; 25.9 million reads; 2593.7 million sequenced bases"
SRR24181968,SAMN34203411,GSM7177953,"Chd1-degron live cells, 360 min auxin, 120 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,603186632;602674009,2655052400,26550524,GSM7177953,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/068/SRR24181968/SRR24181968_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/068/SRR24181968/SRR24181968_2.fastq.gz']","603 MB, 603 MB files; 26.6 million reads; 2655.1 million sequenced bases"
