name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-106,YES,0,4067,3941,4011,2925,2805,2819
GENE-161,YES,0,670,970,902,64,60,59
GENE-164,YES,0,94320,84902,104168,38621,29045,47582
GENE-166,YES,0,6711,5726,7105,6915,5057,8126
GENE-175,YES,0,37,53,56,287,223,250
GENE-226,YES,0,81,65,74,978,1868,1558
GENE-238,YES,0,77,63,92,88,144,88
GENE-349,YES,0,491,635,506,25,26,18
GENE-374,YES,0,79,79,48,36,35,32
GENE-406,YES,0,913,866,917,1259,1462,1489
GENE-432,YES,0,74,51,73,338,461,493
GENE-476,YES,0,170,112,121,112,234,131
GENE-478,YES,0,75,70,186,526,411,394
GENE-511,YES,0,58,57,54,259,176,298
GENE-549,YES,0,16,37,31,89,74,112
GENE-618,YES,0,13,23,24,5,2,5
GENE-643,YES,0,13,15,23,933,648,486
GENE-665,YES,0,269,179,181,146,160,149
GENE-686,YES,0,146,12,488,9075,803,1416
GENE-807,YES,0,41,39,27,34,10,5
GENE-855,YES,0,46,33,29,56,52,54
GENE-969,YES,0,41,50,60,56,39,35
GENE-1012,YES,0,439,477,315,612,502,553
GENE-1079,YES,0,143,123,139,14,7,18
GENE-1295,YES,0,1052,1121,1586,1499,1320,1229
GENE-1361,YES,0,196,359,179,67,59,83
GENE-1444,YES,0,125,174,149,54,44,50
GENE-1478,YES,0,216,224,309,1244,844,2062
GENE-1515,YES,0,160,205,186,152,182,197
GENE-1618,YES,0,687,675,694,2883,2430,2738
GENE-1690,YES,0,2,8,3,18,19,23
GENE-1694,YES,0,882,616,1034,1824,1068,2178
GENE-1808,YES,0,339,357,352,621,634,534
GENE-1857,YES,0,3104,4425,3232,275,147,263
GENE-1927,YES,0,20,30,15,76,85,85
GENE-1974,YES,0,127,114,147,405,310,292
GENE-2098,YES,0,2231,2267,2215,1301,1207,1153
GENE-2193,YES,0,42,42,44,5,2,11
GENE-2199,YES,0,770,1071,994,346,415,347
GENE-2340,YES,0,36,53,40,41,54,60
GENE-2410,YES,0,175,160,140,100,119,107
GENE-2478,YES,0,156,129,152,538,489,514
GENE-2605,YES,0,153,177,138,908,1282,806
GENE-2674,YES,0,165,121,174,160,231,265
GENE-2697,YES,0,22,30,30,11,19,8
GENE-2708,YES,0,10,6,9,28,18,26
GENE-2919,YES,0,1145,1410,1598,523,625,743
GENE-3268,YES,0,17,18,12,19,19,26
GENE-3354,YES,0,2848,2770,2823,432,462,485
GENE-3418,YES,0,2,6,4,22,29,28
GENE-3435,YES,0,15,15,14,14,8,10
GENE-3455,YES,0,442,652,640,741,464,648
GENE-3462,YES,0,505,441,365,316,264,230
GENE-3463,YES,0,589,704,724,62,64,62
GENE-3603,YES,0,184,176,189,326,293,308
GENE-3790,YES,0,33,19,30,11,15,8
GENE-3882,YES,0,120,111,103,265,264,269
GENE-3951,YES,0,1241,1525,849,6529,6464,5596
GENE-3981,YES,0,2516,1941,2167,840,1047,1313
GENE-4082,YES,0,93,77,101,5,5,4
GENE-4284,YES,0,17,25,15,14,18,16
GENE-4317,YES,0,1048,883,1337,13593,12036,10796
GENE-4365,YES,0,484,354,349,320,393,341
GENE-4550,YES,0,1267,1277,1374,136,144,151
GENE-4589,YES,0,815,805,677,284,386,296
GENE-4591,YES,0,1,2,6,33,8,32
GENE-4648,YES,0,139,151,79,192,185,262
GENE-4768,YES,0,392,512,661,166,185,140
GENE-4866,YES,0,39,0,558,172,110,17
GENE-4924,YES,0,245,245,225,261,255,319
GENE-4930,YES,0,8,12,16,16,14,6
GENE-5017,YES,0,335,594,483,838,749,742
GENE-5028,YES,0,1013,888,782,379,513,510
GENE-5065,YES,0,70,66,73,229,218,233
GENE-5084,YES,0,69,47,45,466,387,455
GENE-5106,YES,0,9733,13609,10714,2385,1622,2366
GENE-5157,YES,0,47,67,52,20,20,45
GENE-5187,YES,0,46,59,49,28,30,26
GENE-5203,YES,0,27,13,14,11,13,15
GENE-5226,YES,0,1104,1210,1065,700,787,556
GENE-5358,YES,0,28,20,17,5,14,8
GENE-5401,YES,0,1767,1456,1941,4968,3958,3156
GENE-5457,YES,0,1886,1618,2283,1430,1396,1418
GENE-5478,YES,0,389,752,39,201,96,79
GENE-5484,YES,0,112,147,118,454,348,393
GENE-5666,YES,0,343,413,419,4494,3112,2960
GENE-5823,YES,0,1604,1655,1952,3892,3177,4231
GENE-5884,YES,0,145,142,163,92,133,117
GENE-6119,YES,0,6896,8300,6895,566,446,671
GENE-6168,YES,0,26,34,30,6,4,7
GENE-6484,YES,0,123,96,106,223,183,219
GENE-6618,YES,0,951,1086,812,3460,2654,3079
GENE-6638,YES,0,9,10,16,898,917,784
GENE-6875,YES,0,25,23,16,16,21,18
GENE-6915,YES,0,17,28,28,70,62,61
GENE-7110,YES,0,37,31,39,42,56,53
GENE-7167,YES,0,206,236,192,177,177,124
GENE-7227,YES,0,35,30,42,77,78,64
GENE-7255,YES,0,8081,5994,6439,476,277,353
GENE-7269,YES,0,544,396,689,119,114,95
GENE-7453,YES,0,5656,4497,4074,3486,3604,4957
GENE-7455,YES,0,462,294,319,54,64,96
GENE-7458,YES,0,459,464,444,515,526,535
GENE-7810,YES,0,140,109,129,4,5,3
GENE-7818,YES,0,337,407,368,179,166,133
GENE-7834,YES,0,545,350,481,99,85,145
GENE-7908,YES,0,5217,5800,4910,2778,4287,3036
GENE-7964,YES,0,92,112,127,43,74,57
GENE-7975,YES,0,48,89,65,92,111,142
GENE-7988,YES,0,414,398,547,504,426,732
GENE-8016,YES,0,20,28,18,55,45,45
GENE-8184,YES,0,634,789,615,21037,14509,21310
GENE-8348,YES,0,1882,1568,1597,324,350,333
GENE-8416,YES,0,310,282,343,1686,1634,1378
GENE-8443,YES,0,171,321,432,29,39,49
GENE-8460,YES,0,308,351,559,720,726,583
GENE-8507,YES,0,334,213,332,85,113,74
GENE-8524,YES,0,49,29,52,294,777,531
GENE-8608,YES,0,390,276,307,285,309,137
GENE-8681,YES,0,678,833,863,147,153,172
GENE-8717,YES,0,103,90,122,92,80,123
GENE-8942,YES,0,116,76,116,106,108,176
GENE-8949,YES,0,59,59,72,474,413,389
GENE-8987,YES,0,35,89,83,54,88,25
GENE-9104,YES,0,36,32,48,33,34,34
GENE-9183,YES,0,1484,1342,1144,1039,1075,1227
GENE-9381,YES,0,43,26,43,93,102,97
GENE-9522,YES,0,1943,1519,1973,533,909,692
GENE-9612,YES,0,8,9,12,48,57,51
GENE-9631,YES,0,193,183,174,86,77,40
GENE-9692,YES,0,95,86,53,240,154,197
GENE-9744,YES,0,18,16,24,4,8,6
GENE-9829,YES,0,214,197,185,177,211,251
GENE-9883,YES,0,11,20,12,59,51,48
GENE-10164,YES,0,88,116,70,134,81,28
GENE-10179,YES,0,1017,833,981,738,735,703
GENE-10192,YES,0,68,91,57,23,20,14
GENE-10219,YES,0,30,18,26,249,241,193
GENE-10289,YES,0,138,148,129,921,1028,1044
GENE-10337,YES,0,57,87,44,3,2,3
GENE-10360,YES,0,157,159,148,4,12,11
GENE-10369,YES,0,60,76,59,79,52,41
GENE-10389,YES,0,5,4,6,106,65,73
GENE-10394,YES,0,43,35,35,241,241,241
GENE-10444,YES,0,1734,1422,3032,4274,5575,3290
GENE-10481,YES,0,2,3,2,36,35,37
GENE-10485,YES,0,2681,2322,3570,748,1079,774
GENE-10541,YES,0,29,20,30,1150,675,622
GENE-10581,YES,0,570,556,519,1062,822,674
GENE-10665,YES,0,398,539,504,25,25,36
GENE-11299,YES,0,474,373,513,728,592,795
GENE-11530,YES,0,1768,1929,1881,6622,9772,5381
GENE-11531,YES,0,2,0,3,72,82,134
GENE-11561,YES,0,17,18,27,6,5,3
