name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-13123,YES,1607.3,35.3,1572,44.235,5.5,1.3e-08,1.0e-04,1e-04,0,38,37,31,1476,1725,1515
GENE-6638,YES,875.7,11.7,864,73.11,6.2,8.6e-08,4.0e-04,1e-04,0,9,10,16,894,913,785
GENE-17107,YES,454.3,433,21.3,0.049,-4.3,1.0e-07,5.0e-04,1e-04,0,363,467,469,23,21,20
GENE-4550,YES,1452.3,1309.3,143,0.11,-3.2,1.1e-07,5.0e-04,1e-04,0,1261,1288,1379,135,143,151
GENE-19918,YES,1181.3,41,1140.3,27.686,4.8,1.1e-07,5.0e-04,1e-04,0,48,31,44,1204,1088,1129
GENE-8184,YES,19593.3,681.3,18912,27.755,4.8,1.6e-07,8.0e-04,1e-04,0,631,796,617,20950,14451,21335
GENE-3463,YES,737,674.3,62.7,0.093,-3.4,1.7e-07,8.0e-04,1e-04,0,586,710,727,62,64,62
GENE-3354,YES,3279,2820.3,458.7,0.163,-2.6,1.9e-07,9.0e-04,1e-04,0,2834,2794,2833,430,460,486
GENE-349,YES,568.7,545.7,23,0.042,-4.6,2.2e-07,1.0e-03,1e-04,0,489,640,508,25,26,18
GENE-7810,YES,130,126,4,0.033,-4.9,2.4e-07,1.1e-03,1e-04,0,139,110,129,4,5,3
GENE-10289,YES,1133.7,138.3,995.3,7.172,2.8,3.4e-07,1.6e-03,1e-04,0,137,149,129,917,1024,1045
GENE-161,YES,911,850,61,0.072,-3.8,3.7e-07,1.7e-03,1e-04,0,667,978,905,64,60,59
GENE-6119,YES,7944,7384,560,0.076,-3.7,4.4e-07,2.0e-03,2e-04,0,6862,8371,6919,564,444,672
GENE-14668,YES,341.3,314.7,26.7,0.085,-3.6,4.9e-07,2.3e-03,2e-04,0,294,290,360,28,22,30
GENE-4082,YES,95.3,90.7,4.7,0.053,-4.2,5.2e-07,2.4e-03,2e-04,0,93,78,101,5,5,4
GENE-4317,YES,13203.3,1092,12111.3,11.093,3.5,6.5e-07,3.0e-03,2e-04,0,1043,891,1342,13537,11988,10809
GENE-10665,YES,510.7,482,28.7,0.06,-4.1,6.6e-07,3.1e-03,2e-04,0,396,544,506,25,25,36
GENE-10394,YES,278,37.7,240.3,6.353,2.7,7.0e-07,3.3e-03,2e-04,0,43,35,35,240,240,241
GENE-7255,YES,7217,6849.3,367.7,0.054,-4.2,8.2e-07,3.8e-03,2e-04,0,8041,6045,6462,474,276,353
GENE-8348,YES,2020.7,1685.7,335,0.199,-2.3,8.7e-07,4.0e-03,2e-04,0,1873,1581,1603,323,349,333
GENE-8949,YES,487.7,63.7,424,6.672,2.7,1.1e-06,5.1e-03,2e-04,0,59,60,72,472,411,389
GENE-15185,YES,1324.3,1150,174.3,0.152,-2.7,1.2e-06,5.8e-03,3e-04,0,956,1222,1272,179,184,160
GENE-18391,YES,83.3,6.7,76.7,11.255,3.5,1.4e-06,6.3e-03,3e-04,0,6,7,7,75,68,87
GENE-226,YES,1538.7,73.7,1465,19.903,4.3,1.5e-06,7.1e-03,3e-04,0,81,66,74,974,1861,1560
GENE-1618,YES,3364.3,687,2677.3,3.897,2,1.7e-06,7.7e-03,3e-04,0,684,681,696,2871,2420,2741
GENE-643,YES,704,17,687,40.02,5.3,1.7e-06,8.1e-03,3e-04,0,13,15,23,929,645,487
